"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","MEDICALGRAD","TOT","100000HAB","A","2015",10.99,
"MEX","MEDICALGRAD","TOT","100000HAB","A","2016",12.49,
"MEX","MEDICALGRAD","TOT","100000HAB","A","2017",13.37,
"MEX","MEDICALGRAD","TOT","100000HAB","A","2018",12.26,"P"
"NLD","MEDICALGRAD","TOT","100000HAB","A","2015",14.61,
"NLD","MEDICALGRAD","TOT","100000HAB","A","2016",15.35,"B"
"NLD","MEDICALGRAD","TOT","100000HAB","A","2017",15.95,
"NLD","MEDICALGRAD","TOT","100000HAB","A","2018",15.77,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2015",8.7,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2016",9.49,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2017",9.17,
"NZL","MEDICALGRAD","TOT","100000HAB","A","2018",9.79,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2015",11.18,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2016",11.08,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2017",11.1,
"NOR","MEDICALGRAD","TOT","100000HAB","A","2018",10.2,
"POL","MEDICALGRAD","TOT","100000HAB","A","2015",10.24,
"POL","MEDICALGRAD","TOT","100000HAB","A","2016",10.49,
"POL","MEDICALGRAD","TOT","100000HAB","A","2017",10.95,
"POL","MEDICALGRAD","TOT","100000HAB","A","2018",10.55,
"PRT","MEDICALGRAD","TOT","100000HAB","A","2015",15.85,
"PRT","MEDICALGRAD","TOT","100000HAB","A","2016",16.44,
"PRT","MEDICALGRAD","TOT","100000HAB","A","2017",16.09,
"PRT","MEDICALGRAD","TOT","100000HAB","A","2018",17.11,
"SVK","MEDICALGRAD","TOT","100000HAB","A","2015",15.63,
"SVK","MEDICALGRAD","TOT","100000HAB","A","2016",16.04,
"SVK","MEDICALGRAD","TOT","100000HAB","A","2017",16.88,
"SVK","MEDICALGRAD","TOT","100000HAB","A","2018",17.66,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2015",13.03,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2016",13.39,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2017",14.48,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2018",14.24,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2015",12.41,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2016",11.98,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2017",12.74,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2018",13.11,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2015",10.79,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2016",10.57,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2017",11.19,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2018",11.69,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2015",8.82,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2016",9.65,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2017",10.62,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2018",11.54,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2015",13.61,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2016",12.94,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2017",13,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2018",12.89,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2019",13.1,
"USA","MEDICALGRAD","TOT","100000HAB","A","2015",7.49,
"USA","MEDICALGRAD","TOT","100000HAB","A","2016",7.56,
"USA","MEDICALGRAD","TOT","100000HAB","A","2017",7.78,
"USA","MEDICALGRAD","TOT","100000HAB","A","2018",7.95,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2015",9.42,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2016",9.05,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2017",8.67,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2018",8.73,
"EST","MEDICALGRAD","TOT","100000HAB","A","2015",10.11,
"EST","MEDICALGRAD","TOT","100000HAB","A","2016",11.02,
"EST","MEDICALGRAD","TOT","100000HAB","A","2017",11.46,
"EST","MEDICALGRAD","TOT","100000HAB","A","2018",10.29,
"EST","MEDICALGRAD","TOT","100000HAB","A","2019",10.42,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2015",5.47,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2016",6.76,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2017",6.9,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2018",7.41,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2015",17.35,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2016",15.88,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2017",17.47,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2018",13.55,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2015",16.18,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2016",16.33,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2017",17.35,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2018",22.21,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2019",23.44,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2015",16.39,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2016",16.11,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2017",19.27,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2018",20.6,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2015",0,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2016",0,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2017",0,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2018",0,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2019",0,
