"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","NURSE","TOT","1000HAB","A","2018",17.74,
"NOR","NURSE","TOT","1000HAB","A","2019",17.97,
"POL","NURSE","TOT","1000HAB","A","2015",5.2,
"POL","NURSE","TOT","1000HAB","A","2016",5.16,
"POL","NURSE","TOT","1000HAB","A","2017",5.1,
"PRT","NURSE","TOT","1000HAB","A","2015",6.29,
"PRT","NURSE","TOT","1000HAB","A","2016",6.47,
"PRT","NURSE","TOT","1000HAB","A","2017",6.68,
"PRT","NURSE","TOT","1000HAB","A","2018",6.88,
"SVK","NURSE","TOT","1000HAB","A","2015",5.7,
"SVK","NURSE","TOT","1000HAB","A","2016",5.74,
"SVK","NURSE","TOT","1000HAB","A","2017",5.65,
"SVK","NURSE","TOT","1000HAB","A","2018",5.7,
"ESP","NURSE","TOT","1000HAB","A","2015",5.29,
"ESP","NURSE","TOT","1000HAB","A","2016",5.51,
"ESP","NURSE","TOT","1000HAB","A","2017",5.74,
"ESP","NURSE","TOT","1000HAB","A","2018",5.87,
"CHE","NURSE","TOT","1000HAB","A","2015",16.58,
"CHE","NURSE","TOT","1000HAB","A","2016",17.02,
"CHE","NURSE","TOT","1000HAB","A","2017",17.23,
"CHE","NURSE","TOT","1000HAB","A","2018",17.59,
"TUR","NURSE","TOT","1000HAB","A","2015",1.95,
"TUR","NURSE","TOT","1000HAB","A","2016",1.93,
"TUR","NURSE","TOT","1000HAB","A","2017",2.07,
"TUR","NURSE","TOT","1000HAB","A","2018",2.34,"B"
"GBR","NURSE","TOT","1000HAB","A","2015",7.91,"D"
"GBR","NURSE","TOT","1000HAB","A","2016",7.88,"D"
"GBR","NURSE","TOT","1000HAB","A","2017",7.83,"D"
"GBR","NURSE","TOT","1000HAB","A","2018",7.78,
"USA","NURSE","TOT","1000HAB","A","2015",11.31,
"USA","NURSE","TOT","1000HAB","A","2016",11.63,
"USA","NURSE","TOT","1000HAB","A","2017",11.77,
"USA","NURSE","TOT","1000HAB","A","2018",11.89,
"CHN","NURSE","TOT","1000HAB","A","2015",2.3,"D"
"CHN","NURSE","TOT","1000HAB","A","2016",2.48,"D"
"CHN","NURSE","TOT","1000HAB","A","2017",2.68,"D"
"EST","NURSE","TOT","1000HAB","A","2015",6.01,
"EST","NURSE","TOT","1000HAB","A","2016",6.1,
"EST","NURSE","TOT","1000HAB","A","2017",6.19,
"EST","NURSE","TOT","1000HAB","A","2018",6.29,
"IND","NURSE","TOT","1000HAB","A","2015",1.45,"D"
"IND","NURSE","TOT","1000HAB","A","2016",1.5,"D"
"ISR","NURSE","TOT","1000HAB","A","2015",4.88,
"ISR","NURSE","TOT","1000HAB","A","2016",4.99,
"ISR","NURSE","TOT","1000HAB","A","2017",5.08,
"ISR","NURSE","TOT","1000HAB","A","2018",5.03,
"RUS","NURSE","TOT","1000HAB","A","2015",8.51,
"RUS","NURSE","TOT","1000HAB","A","2016",8.46,
"RUS","NURSE","TOT","1000HAB","A","2017",8.47,
"RUS","NURSE","TOT","1000HAB","A","2018",8.46,
"SVN","NURSE","TOT","1000HAB","A","2015",8.78,
"SVN","NURSE","TOT","1000HAB","A","2016",9.65,
"SVN","NURSE","TOT","1000HAB","A","2017",9.92,
"SVN","NURSE","TOT","1000HAB","A","2018",10.14,
"ZAF","NURSE","TOT","1000HAB","A","2015",1.27,
"ZAF","NURSE","TOT","1000HAB","A","2016",1.31,
"ZAF","NURSE","TOT","1000HAB","A","2017",1.31,
"ITA","NURSE","TOT","1000HAB","A","2015",6.11,
"ITA","NURSE","TOT","1000HAB","A","2016",6.54,
"ITA","NURSE","TOT","1000HAB","A","2017",6.71,
"ITA","NURSE","TOT","1000HAB","A","2018",6.73,
"BEL","NURSE","TOT","1000HAB","A","2015",10.83,"E"
"BEL","NURSE","TOT","1000HAB","A","2016",10.96,
"BEL","NURSE","TOT","1000HAB","A","2017",11.22,
"SWE","NURSE","TOT","1000HAB","A","2015",10.94,
"SWE","NURSE","TOT","1000HAB","A","2016",10.91,
"SWE","NURSE","TOT","1000HAB","A","2017",10.88,
"COL","NURSE","TOT","1000HAB","A","2015",1.15,
"COL","NURSE","TOT","1000HAB","A","2016",1.21,
"COL","NURSE","TOT","1000HAB","A","2017",1.26,
"COL","NURSE","TOT","1000HAB","A","2018",1.33,
"LVA","NURSE","TOT","1000HAB","A","2015",4.68,
"LVA","NURSE","TOT","1000HAB","A","2016",4.64,
"LVA","NURSE","TOT","1000HAB","A","2017",4.57,
"LVA","NURSE","TOT","1000HAB","A","2018",4.35,
"LTU","NURSE","TOT","1000HAB","A","2015",7.66,
"LTU","NURSE","TOT","1000HAB","A","2016",7.7,
"LTU","NURSE","TOT","1000HAB","A","2017",7.71,
"LTU","NURSE","TOT","1000HAB","A","2018",7.78,
